updated_sample	total_reads	genome_read_count	genome_read_perc	assembly_read_count	assembly_read_perc
OC2_150m	364707924	144488594	39.6176185083382	197686063	54.203939643494
OC2_500m	340166788	104178739	30.625782020789167	169537480	49.83951578482729
OC2_50m	342306200	105716937	30.883734212234543	177209522	51.7692995335755
OC3_1000m	381189954	203817795	53.46882646335428	246527279	64.67307871392644
OC3_150m	448759362	205809946	45.86198382196648	273911219	61.03743836769249
OC3_2000m	452748760	232824188	51.42458877192728	295349572	65.23476110680016
OC3_3000m	373411304	206962786	55.424885048471914	253229917	67.81527883258724
OC3_500m	474802460	223862691	47.148595439037955	299134756	63.001938953728256
OC3_50m	405243240	112279782	27.706762486648763	252866186	62.398619160186364
OC4_1000m	403971926	191784324	47.47466634599752	248270138	61.45727512757904
OC4_150m	518405020	200655869	38.70639003457181	295331852	56.96932718745663
OC4_2000m	432388020	205888484	47.61660232862141	270465875	62.55165788358335
OC4_3000m	473172068	242215773	51.1897868409257	310916987	65.70907456861971
OC4_500m	405284086	178281429	43.98924980242131	238323348	58.804023210523994
OC4_50m	437631926	94693159	21.637625907576037	254955203	58.25790758236409
OC5_1000m	455614450	210188844	46.13305043332142	272262155	59.75713786075046
OC5_150m	312347346	118487553	37.93454771342927	161827625	51.81014888469711
OC5_2000m	415099944	198255298	47.760858768027205	249300056	60.05783898636228
OC5_3000m	329550540	164773700	49.99952359355867	206682139	62.71637090929968
OC5_500m	267053858	115704905	43.3264308055793	142856771	53.49361813001781
OC5_50m	291832620	40042468	13.721039135378355	157498588	53.96880855882389
OC6_1000m	322714554	156539547	48.50712341904481	188963629	58.55441803222795
OC6_150m	413531950	161298597	39.00511121329319	228927485	55.359080477336754
OC6_2000m	456964236	234948833	51.41514685188624	305191582	66.78675440149763
OC6_3000m	436419986	216216459	49.54320744604946	280496131	64.27206360801267
OC6_4000m	441612612	231610073	52.44643533867189	307914311	69.72498126933023
OC6_500m	378965944	178741926	47.16569623997665	227893278	60.13555613852204
OC6_50m	458718262	51377882	11.200313189188007	205786301	44.86115292266258
